age,state,area_type,family_income,father_education,mother_education,siblings_count,distance_to_school_km,toilet_facility,internet_access,scholarship,early_marriage_risk,attendance_percentage,academic_performance,dropout
11,Karnataka,Rural,Above 5 Lakh,Secondary,Illiterate,3,3.5,No,Yes,No,No,86,61,1
17,West Bengal,Rural,1-3 Lakh,Illiterate,Secondary,3,1.0,No,Yes,No,No,68,53,0
14,Uttar Pradesh,Rural,3-5 Lakh,Secondary,Graduate,2,0.6,Yes,Yes,Yes,No,62,71,0
13,Bihar,Urban,Below 1 Lakh,Secondary,Secondary,5,2.8,Yes,No,Yes,Yes,76,65,1
14,Karnataka,Urban,1-3 Lakh,Secondary,Illiterate,1,2.7,Yes,No,No,No,83,72,0
11,Tamil Nadu,Rural,Below 1 Lakh,Primary,Secondary,0,0.8,Yes,Yes,Yes,No,68,62,0
13,Maharashtra,Urban,Below 1 Lakh,Illiterate,Illiterate,5,1.1,Yes,No,Yes,No,84,58,0
16,Tamil Nadu,Rural,Below 1 Lakh,Illiterate,Graduate,4,2.5,No,Yes,No,No,86,43,0
11,Uttar Pradesh,Urban,1-3 Lakh,Illiterate,Illiterate,5,1.0,No,No,No,No,75,88,0
15,Tamil Nadu,Rural,Below 1 Lakh,Primary,Illiterate,0,0.7,Yes,No,Yes,No,69,35,1
13,Uttar Pradesh,Urban,1-3 Lakh,Secondary,Illiterate,1,0.7,No,No,No,No,62,52,0
14,Rajasthan,Urban,Above 5 Lakh,Illiterate,Primary,0,0.4,No,Yes,No,No,76,77,0
17,Rajasthan,Rural,1-3 Lakh,Primary,Secondary,3,1.9,No,Yes,No,No,65,68,0
16,Rajasthan,Urban,Above 5 Lakh,Secondary,Secondary,3,3.0,Yes,Yes,No,No,91,67,0
13,Rajasthan,Urban,Below 1 Lakh,Illiterate,Secondary,6,0.3,Yes,No,Yes,No,84,52,0
12,Maharashtra,Rural,Below 1 Lakh,Illiterate,Secondary,1,0.3,Yes,No,No,Yes,69,76,1
16,Bihar,Rural,Above 5 Lakh,Primary,Illiterate,0,3.2,No,Yes,No,Yes,78,63,1
14,Karnataka,Rural,Above 5 Lakh,Secondary,Graduate,0,7.4,Yes,No,Yes,Yes,64,48,0
13,West Bengal,Rural,Above 5 Lakh,Secondary,Primary,0,0.6,No,No,No,No,55,40,1
13,Odisha,Rural,1-3 Lakh,Illiterate,Secondary,0,1.2,Yes,No,Yes,No,72,35,0
15,Uttar Pradesh,Rural,Below 1 Lakh,Secondary,Secondary,5,2.2,Yes,No,No,Yes,73,97,1
13,Odisha,Rural,1-3 Lakh,Primary,Illiterate,2,2.4,Yes,No,Yes,No,81,40,0
15,Karnataka,Rural,3-5 Lakh,Illiterate,Primary,2,2.5,Yes,Yes,No,No,69,28,1
14,Tamil Nadu,Rural,1-3 Lakh,Primary,Primary,1,1.5,Yes,No,No,No,92,67,1
14,Tamil Nadu,Urban,1-3 Lakh,Secondary,Illiterate,1,2.6,No,No,Yes,No,86,92,0
16,West Bengal,Rural,Above 5 Lakh,Secondary,Primary,6,2.4,No,No,Yes,No,64,65,1
